Time;Wind Peak;Wind Speed;Wind Direction;Maximum Outdoor Temperature;Current Outdoor Temperature;Min Outdoor Temperature;Minimum Ambient Temperature;Current Ambient Temperature;Maximum Ambient Temperature;Global Radiation;Direct Radiation;Diffus Radiation;Current Hourly Electricity;Prod. Photovoltaique (kWh);Rayonnement (W/m2);hours;day;month;year;dayofweek;weekofyear
2019-04-16 08:04:00+00:00;0;2.107;294.22;18.73;10.866;2.875;20.114;22.039;26.01;133.024;0.855;132.172;354.956;0.082;14.696;8;16;4;2019;1;16
2019-04-16 14:04:00+00:00;0;3.618;298.66;18.73;13.438;2.875;20.338;22.585;26.01;254.205;0.163;254.035;349.553;6.418;341.661;14;16;4;2019;1;16
2019-04-16 20:04:00+00:00;0;1.02;231.571;18.73;13.351;2.875;20.363;22.171;26.01;33.627;1.017;32.615;213.19;2.168;126.771;20;16;4;2019;1;16
2019-04-17 02:04:00+00:00;0;0.994;166.456;14.31;9.683;9.509;19.632;21.712;26.01;6.377;0;6.377;150.8;0;6.409;2;17;4;2019;2;16
2019-04-17 08:04:00+00:00;0;1.108;151.947;14.21;9.365;9.66;20.185;21.709;26.01;105.253;54.916;49.109;277.792;0;20.119;8;17;4;2019;2;16
2019-04-24 14:04:00+00:00;3.289;2.156;151.063;22.05;13.285;14.76;21.989;23.7;26.01;86.865;0.066;88.119;491.758;1.5;108.82;14;24;4;2019;2;17
2019-04-29 08:04:00+00:00;0;0;0;0;0;0;0;0;0;0;0;0;-6;0.25;36.036;8;29;4;2019;0;18
2019-04-29 14:04:00+00:00;0;0;0;0;0;0;0;0;0;0;0;0;-6;3.5;350.528;14;29;4;2019;0;18
2019-04-29 20:04:00+00:00;0;0;0;0;0;0;0;0;0;0;0;0;-6;1.418;63.804;20;29;4;2019;0;18
2019-04-30 02:04:00+00:00;0;0;0;0;0;0;0;0;0;0;0;0;-6;0;6.446;2;30;4;2019;1;18
2019-04-30 08:04:00+00:00;0;0;0;0;0;0;0;0;0;0;0;0;-6;0;22.023;8;30;4;2019;1;18
2019-05-02 14:05:00+00:00;0;0;0;0;0;0;0;0;0;0;0;0;-6;6.168;360.841;14;2;5;2019;3;18
2019-05-03 14:05:00+00:00;5.911;3.107;58.914;12.822;13.544;6.935;0;21.13;24.6;211.069;29.786;181.25;-17;6.414;371.993;14;3;5;2019;4;18
2019-05-03 20:05:00+00:00;6;4;337.8;16.73;16.16;10.26;0;21.383;25.124;237.8;16.94;220.9;-656.167;0.75;32.502;20;3;5;2019;4;18
2019-05-04 02:05:00+00:00;6;4;337.8;16.73;16.16;10.26;0;21.281;25.124;237.8;16.94;220.9;-1;0;6.579;2;4;5;2019;5;18
2019-05-04 08:05:00+00:00;6;4;337.8;16.73;16.16;10.26;0;21.241;25.124;237.8;16.94;220.9;-2;0.5;30.553;8;4;5;2019;5;18
2019-05-04 14:05:00+00:00;6;4;337.8;16.73;16.16;10.26;0;21.351;25.124;237.8;16.94;220.9;-3;8.918;407.516;14;4;5;2019;5;18
2019-05-04 20:05:00+00:00;6;4;337.8;16.73;16.16;10.26;0;21.307;25.124;237.8;16.94;220.9;-4;2.25;82.333;20;4;5;2019;5;18
2019-05-05 02:05:00+00:00;6;4;337.8;16.73;16.16;10.26;0;21.112;25.124;237.8;16.94;220.9;-4;0;6.381;2;5;5;2019;6;18
2019-05-05 08:05:00+00:00;6;4;337.8;16.73;16.16;10.26;0;21.011;25.124;237.8;16.94;220.9;-5;0;14.006;8;5;5;2019;6;18
2019-05-05 14:05:00+00:00;6;4;337.8;16.73;16.16;10.26;0;21.03;25.124;237.8;16.94;220.9;-6;3.832;294.749;14;5;5;2019;6;18
2019-05-05 20:05:00+00:00;6;4;337.8;16.73;16.16;10.26;0;21.014;25.124;237.8;16.94;220.9;-7;1.25;66.389;20;5;5;2019;6;18
2019-05-06 02:05:00+00:00;6;4;337.8;16.73;16.16;10.26;0;20.903;25.124;237.8;16.94;220.9;-8;0;6.408;2;6;5;2019;0;19
